sequence,status,send_time_epoch,recv_time_epoch,send_time_iso,recv_time_iso,rtt_us,packet_size_bytes,from_ip,from_port,error
148,ok,1769521223.648720980,1769521223.649338722,2026-01-27T15:40:23.648721,2026-01-27T15:40:23.649339,617.74,64,192.168.10.30,5005,
149,ok,1769521223.652216434,1769521223.652813673,2026-01-27T15:40:23.652216,2026-01-27T15:40:23.652814,597.24,64,192.168.10.30,5005,
150,ok,1769521223.655622005,1769521223.656196117,2026-01-27T15:40:23.655622,2026-01-27T15:40:23.656196,574.11,64,192.168.10.30,5005,
151,ok,1769521223.658974886,1769521223.659548521,2026-01-27T15:40:23.658975,2026-01-27T15:40:23.659549,573.64,64,192.168.10.30,5005,
152,ok,1769521223.662398100,1769521223.662987947,2026-01-27T15:40:23.662398,2026-01-27T15:40:23.662988,589.85,64,192.168.10.30,5005,
153,ok,1769521223.665864944,1769521223.666475534,2026-01-27T15:40:23.665865,2026-01-27T15:40:23.666476,610.59,64,192.168.10.30,5005,
154,ok,1769521223.669492483,1769521223.670325279,2026-01-27T15:40:23.669492,2026-01-27T15:40:23.670325,832.80,64,192.168.10.30,5005,
155,ok,1769521223.673275948,1769521223.673919916,2026-01-27T15:40:23.673276,2026-01-27T15:40:23.673920,643.97,64,192.168.10.30,5005,
156,ok,1769521223.676896095,1769521223.677576780,2026-01-27T15:40:23.676896,2026-01-27T15:40:23.677577,680.69,64,192.168.10.30,5005,
157,ok,1769521223.680572510,1769521223.681204557,2026-01-27T15:40:23.680573,2026-01-27T15:40:23.681205,632.05,64,192.168.10.30,5005,
158,ok,1769521223.684085846,1769521223.684718370,2026-01-27T15:40:23.684086,2026-01-27T15:40:23.684718,632.52,64,192.168.10.30,5005,
159,ok,1769521223.687567949,1769521223.688153505,2026-01-27T15:40:23.687568,2026-01-27T15:40:23.688154,585.56,64,192.168.10.30,5005,
160,ok,1769521223.690987587,1769521223.691577673,2026-01-27T15:40:23.690988,2026-01-27T15:40:23.691578,590.09,64,192.168.10.30,5005,
161,ok,1769521223.694409132,1769521223.694984913,2026-01-27T15:40:23.694409,2026-01-27T15:40:23.694985,575.78,64,192.168.10.30,5005,
162,ok,1769521223.697829723,1769521223.698413849,2026-01-27T15:40:23.697830,2026-01-27T15:40:23.698414,584.13,64,192.168.10.30,5005,
163,ok,1769521223.701266289,1769521223.701872587,2026-01-27T15:40:23.701266,2026-01-27T15:40:23.701873,606.30,64,192.168.10.30,5005,
164,ok,1769521223.704766989,1769521223.705350399,2026-01-27T15:40:23.704767,2026-01-27T15:40:23.705350,583.41,64,192.168.10.30,5005,
165,ok,1769521223.708312750,1769521223.709014416,2026-01-27T15:40:23.708313,2026-01-27T15:40:23.709014,701.67,64,192.168.10.30,5005,
166,ok,1769521223.712015390,1769521223.712669134,2026-01-27T15:40:23.712015,2026-01-27T15:40:23.712669,653.74,64,192.168.10.30,5005,
167,ok,1769521223.715543985,1769521223.716158867,2026-01-27T15:40:23.715544,2026-01-27T15:40:23.716159,614.88,64,192.168.10.30,5005,
168,ok,1769521223.718994379,1769521223.719621420,2026-01-27T15:40:23.718994,2026-01-27T15:40:23.719621,627.04,64,192.168.10.30,5005,
169,ok,1769521223.722435474,1769521223.723011494,2026-01-27T15:40:23.722435,2026-01-27T15:40:23.723011,576.02,64,192.168.10.30,5005,
